                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4064,                 7.1981,                      0,                  2.159,                 2.2041,                0.96845,                0.94456,                0.97514,                0.58727,                      0,                      0,                      0,                      0,                 1.5038,                 6.1949,                      0,                 1.3683,                 2.1913,                0.00036,                0.00036,                0.00036
                      2,                 1.4165,                  5.728,                      0,                0.97626,                  1.326,                0.93809,                0.93247,                0.96992,                0.38514,                 0.1156,                0.09231,                0.04726,                0.00493,                 2.0452,                 5.7529,                      0,                 1.2073,                 1.9578,             0.00073267,             0.00073267,             0.00073267
                      3,                 1.3299,                 5.0147,                      0,                0.87171,                 1.2682,                0.94619,                0.94689,                0.96126,                0.69981,                0.67131,                0.68462,                0.63803,                0.07978,                 1.3411,                  5.314,                      0,                 1.0859,                 1.7792,              0.0010978,              0.0010978,              0.0010978
                      4,                 1.2806,                 4.2681,                      0,                0.85859,                 1.2516,                0.94059,                0.97436,                0.96519,                0.65642,                0.18925,                0.18462,                0.05247,                0.00536,                 1.6565,                 5.5113,                      0,                 1.5006,                 1.8515,              0.0014555,              0.0014555,              0.0014555
                      5,                 1.1466,                   3.79,                      0,                0.78643,                 1.1661,                0.99486,                0.97692,                0.98518,                0.67351,                0.80852,                0.79231,                0.69199,                0.11124,                 1.1908,                 4.9628,                      0,                 1.3544,                  1.451,              0.0018056,              0.0018056,              0.0018056
                      6,                 1.1561,                 3.7036,                      0,                0.74169,                 1.1624,                0.94427,                0.91234,                0.95582,                0.59766,                0.82573,                0.66923,                0.67314,                0.11895,                 1.2439,                 5.2308,                      0,                 1.5913,                 1.9131,               0.001901,               0.001901,               0.001901
                      7,                  1.134,                 3.3852,                      0,                0.75698,                 1.1801,                0.98172,                0.97692,                0.98478,                 0.6619,                0.70335,                    0.7,                0.53681,                 0.0727,                 1.3826,                 4.6426,                      0,                 1.0868,                 1.7791,               0.001901,               0.001901,               0.001901
                      8,                 1.0238,                 3.0205,                      0,                0.67366,                 1.1026,                 0.9897,                0.96154,                0.97511,                0.72358,                0.96569,                0.93846,                0.94592,                0.26348,                 1.4204,                 4.4467,                      0,                0.96482,                 1.6045,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.0555,                 2.8765,                      0,                0.67882,                 1.1101,                      1,                0.97596,                0.98597,                0.61101,                 0.9606,                 0.9376,                 0.9173,                0.22487,                 1.4618,                 4.5123,                      0,                 0.7443,                 1.4767,              0.0018614,              0.0018614,              0.0018614
                     10,                  1.028,                   2.66,                      0,                0.67706,                 1.1017,                      1,                0.99089,                  0.995,                0.69649,                      1,                0.98378,                 0.9858,                0.34158,                 1.3783,                 3.9008,                      0,                0.71059,                 1.5376,              0.0018416,              0.0018416,              0.0018416
                     11,                 0.9967,                 2.5846,                      0,                0.66551,                  1.094,                0.99216,                0.97387,                0.98499,                0.74349,                0.96865,                0.95079,                0.95279,                0.33619,                 1.0359,                  3.966,                      0,                0.75962,                  1.313,              0.0018218,              0.0018218,              0.0018218
                     12,                0.98336,                 2.3445,                      0,                 0.6441,                 1.0914,                0.97669,                0.96706,                0.98528,                0.68704,                0.93794,                0.92999,                0.94474,                0.24753,                 1.3325,                 4.0196,                      0,                0.68625,                 1.5666,               0.001802,               0.001802,               0.001802
                     13,                0.97094,                 2.3098,                      0,                0.63552,                 1.0711,                      1,                0.99938,                  0.995,                0.73813,                0.98316,                0.96154,                0.95875,                0.27571,                 1.0606,                 3.7354,                      0,                0.55597,                 1.3418,              0.0017822,              0.0017822,              0.0017822
                     14,                   1.01,                 2.2361,                      0,                 0.6041,                 1.0756,                0.99219,                0.97701,                 0.9947,                0.75992,                0.99769,                0.96154,                0.99424,                0.45941,                0.93075,                 3.6163,                      0,                0.55287,                 1.1547,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.0027,                 2.0058,                      0,                0.62777,                   1.06,                0.98553,                0.97692,                0.98504,                0.73713,                0.98591,                0.96923,                 0.9757,                0.45646,                 1.0611,                 3.6257,                      0,                0.72016,                 1.4584,              0.0017426,              0.0017426,              0.0017426
                     16,                0.94126,                 2.0134,                      0,                0.62667,                 1.0816,                0.99945,                0.99231,                  0.995,                 0.7916,                0.99742,                0.97692,                0.97825,                0.26121,                0.87168,                 3.6608,                      0,                0.57369,                 1.1378,              0.0017228,              0.0017228,              0.0017228
                     17,                0.90502,                 1.8448,                      0,                0.60867,                 1.0542,                0.99912,                0.99231,                  0.995,                 0.7829,                0.96649,                0.94615,                0.94786,                 0.2432,                0.94845,                 3.7997,                      0,                0.50955,                 1.3175,               0.001703,               0.001703,               0.001703
                     18,                0.87676,                 1.7803,                      0,                0.57163,                  1.042,                      1,                0.98332,                0.99477,                0.75562,                0.99874,                0.97692,                0.97759,                0.35414,                0.95808,                 3.4356,                      0,                 0.5018,                 1.1952,              0.0016832,              0.0016832,              0.0016832
                     19,                0.86375,                 1.6797,                      0,                0.55776,                 1.0514,                      1,                0.97494,                0.99153,                0.79643,                0.96055,                0.93648,                0.96382,                0.33548,                 0.9671,                 3.7162,                      0,                0.57428,                 1.2392,              0.0016634,              0.0016634,              0.0016634
                     20,                0.85964,                 1.6947,                      0,                0.54672,                 1.0262,                0.99913,                0.97692,                0.99477,                0.79124,                0.99125,                0.96923,                0.98519,                0.27659,                0.98692,                 3.6698,                      0,                0.55509,                 1.2393,              0.0016436,              0.0016436,              0.0016436
                     21,                 0.8872,                 1.6764,                      0,                0.56666,                 1.0342,                0.99211,                0.96681,                0.97993,                0.74382,                0.98421,                0.95912,                0.96824,                0.30886,                  1.069,                 3.7063,                      0,                0.70647,                 1.3037,              0.0016238,              0.0016238,              0.0016238
                     22,                 0.9333,                 1.5062,                      0,                0.56755,                 1.0596,                 0.9983,                0.97692,                0.97915,                0.80928,                0.99044,                0.96923,                0.97199,                 0.2604,                 1.0066,                 4.1038,                      0,                0.65779,                 1.2828,               0.001604,               0.001604,               0.001604
                     23,                0.91152,                 1.6234,                      0,                0.56063,                 1.0434,                0.99201,                0.95471,                0.97554,                0.79464,                0.98402,                 0.9473,                0.96259,                0.45117,                0.92637,                 3.7177,                      0,                0.82854,                 1.3012,              0.0015842,              0.0015842,              0.0015842
                     24,                0.85793,                 1.5878,                      0,                0.53211,                 1.0178,                0.95852,                0.90769,                0.95898,                0.72727,                0.94642,                0.89231,                0.94305,                0.49947,                 1.1092,                  3.412,                      0,                0.66644,                 1.4237,              0.0015644,              0.0015644,              0.0015644
                     25,                0.78091,                 1.4028,                      0,                0.50548,                0.97884,                0.95485,                0.97614,                0.99118,                 0.8161,                0.94733,                0.96845,                0.96846,                 0.3925,                 0.9668,                 3.6677,                      0,                0.54949,                  1.221,              0.0015446,              0.0015446,              0.0015446
                     26,                0.86385,                 1.5301,                      0,                0.54402,                  1.015,                      1,                0.99023,                  0.995,                0.80906,                0.99008,                0.96923,                0.97484,                0.46045,                0.84612,                 3.3348,                      0,                0.50015,                 1.1422,              0.0015248,              0.0015248,              0.0015248
                     27,                0.86285,                 1.3908,                      0,                0.54295,                 1.0371,                      1,                0.99227,                  0.995,                 0.7792,                0.99028,                0.96923,                0.96936,                0.37244,                0.89903,                 3.3864,                      0,                0.51278,                 1.0893,               0.001505,               0.001505,               0.001505
                     28,                0.81589,                 1.5401,                      0,                0.52091,                0.98678,                0.98121,                0.99231,                0.99462,                0.83157,                0.98121,                0.99231,                0.99415,                0.46828,                 0.8076,                 3.3332,                      0,                0.45783,                 1.1394,              0.0014852,              0.0014852,              0.0014852
                     29,                0.82168,                 1.3148,                      0,                 0.5358,                 1.0138,                0.97549,                0.98462,                0.99256,                0.82203,                0.96707,                0.96923,                 0.9739,                0.34395,                0.89029,                  3.533,                      0,                 0.5431,                 1.2038,              0.0014654,              0.0014654,              0.0014654
                     30,                0.82989,                 1.3482,                      0,                0.52371,                 1.0017,                      1,                0.99018,                  0.995,                0.82477,                0.99152,                0.97692,                0.97681,                0.35353,                0.80779,                 3.4889,                      0,                0.45569,                 1.1801,              0.0014456,              0.0014456,              0.0014456
                     31,                0.80609,                 1.2675,                      0,                 0.5068,                 1.0001,                      1,                0.98365,                0.99485,                0.82085,                0.99899,                0.97692,                0.98672,                0.48759,                0.87504,                 3.2837,                      0,                0.53659,                 1.2419,              0.0014258,              0.0014258,              0.0014258
                     32,                0.80517,                 1.2987,                      0,                 0.4978,                 1.0045,                0.99943,                0.97692,                0.98915,                0.86243,                      1,                0.98409,                0.98922,                0.37121,                0.77708,                 3.3889,                      0,                 0.4634,                  1.021,               0.001406,               0.001406,               0.001406
                     33,                0.78902,                 1.1782,                      0,                0.49686,                 1.0094,                0.99192,                0.97692,                0.99306,                0.83083,                0.98428,                0.96923,                0.98736,                0.42322,                0.89002,                 3.3502,                      0,                0.49635,                 1.0891,              0.0013862,              0.0013862,              0.0013862
                     34,                 0.7938,                  1.358,                      0,                0.50018,                0.99481,                0.99942,                0.98462,                0.99492,                0.81166,                0.99161,                0.97692,                0.98728,                0.41798,                 1.1302,                 3.4177,                      0,                0.47722,                 1.2649,              0.0013664,              0.0013664,              0.0013664
                     35,                0.79593,                  1.331,                      0,                0.50293,                0.98908,                0.97626,                0.99231,                0.99454,                0.82278,                0.98343,                0.98462,                0.99439,                0.44735,                 1.0901,                 3.2548,                      0,                0.51819,                 1.2262,              0.0013466,              0.0013466,              0.0013466
                     36,                 0.7917,                 1.2918,                      0,                0.50427,                0.99486,                 0.9764,                      1,                0.99455,                0.82671,                0.97659,                      1,                0.99485,                0.40805,                0.85993,                 3.2524,                      0,                0.46461,                 1.1399,              0.0013268,              0.0013268,              0.0013268
                     37,                0.78304,                 1.2016,                      0,                0.49364,                0.98106,                0.97726,                 0.9917,                 0.9947,                0.85443,                0.97726,                 0.9917,                 0.9947,                0.44081,                0.77707,                 3.2687,                      0,                0.43632,                  1.027,               0.001307,               0.001307,               0.001307
                     38,                0.77336,                  1.198,                      0,                0.48988,                0.99662,                0.99236,                0.99901,                  0.995,                0.83928,                0.99509,                0.98462,                0.98734,                0.40931,                0.83123,                  3.291,                      0,                0.44618,                 1.0682,              0.0012872,              0.0012872,              0.0012872
                     39,                0.77118,                 1.1093,                      0,                0.48736,                0.99718,                0.99885,                0.97692,                0.98799,                0.80637,                0.98312,                0.96154,                0.96543,                0.45992,                0.81816,                 3.3295,                      0,                0.43768,                 1.0413,              0.0012674,              0.0012674,              0.0012674
                     40,                0.73013,                 1.1079,                      0,                 0.4626,                0.97515,                0.99896,                0.97692,                 0.9865,                0.82972,                 0.9911,                0.96923,                0.97159,                 0.5046,                0.68642,                 3.4257,                      0,                0.44059,                 0.9872,              0.0012476,              0.0012476,              0.0012476
                     41,                 0.7608,                 1.1993,                      0,                0.47654,                0.98249,                0.99903,                0.97692,                 0.9885,                0.77167,                0.99116,                0.96923,                0.97444,                0.48067,                0.95262,                 3.4653,                      0,                0.48112,                 1.1539,              0.0012278,              0.0012278,              0.0012278
                     42,                0.76707,                 1.1379,                      0,                0.47119,                0.98945,                0.99482,                0.96154,                0.97326,                0.80134,                0.98863,                0.95385,                0.95933,                0.41487,                0.89549,                 3.6264,                      0,                0.49981,                 1.1237,               0.001208,               0.001208,               0.001208
                     43,                 0.7899,                 1.0731,                      0,                0.47073,                0.99068,                0.95237,                0.96154,                0.98992,                0.78189,                0.97899,                0.95385,                0.97023,                0.45965,                 1.0187,                 3.4582,                      0,                0.49249,                 1.2166,              0.0011882,              0.0011882,              0.0011882
                     44,                0.74055,                 1.1397,                      0,                0.45997,                0.97252,                      1,                0.99149,                  0.995,                0.83917,                0.99876,                0.97692,                 0.9794,                0.52146,                0.87281,                 3.2199,                      0,                0.52825,                  1.118,              0.0011684,              0.0011684,              0.0011684
                     45,                 0.7202,                 1.0634,                      0,                0.44755,                 0.9707,                      1,                0.98411,                0.99485,                0.86581,                0.99869,                0.97692,                0.97846,                0.44116,                0.77144,                  3.205,                      0,                0.42716,                 1.0438,              0.0011486,              0.0011486,              0.0011486
                     46,                0.74298,                 1.1335,                      0,                 0.4655,                0.97832,                      1,                0.98417,                0.99396,                0.82978,                      1,                0.98417,                0.98731,                0.46675,                0.85586,                 3.1069,                      0,                0.44539,                 1.0944,              0.0011288,              0.0011288,              0.0011288
                     47,                 0.7145,                 1.0387,                      0,                0.43859,                0.96033,                      1,                0.98415,                0.99492,                0.82571,                      1,                0.98415,                0.98824,                0.51294,                 0.8347,                 3.0955,                      0,                0.43308,                 1.0238,               0.001109,               0.001109,               0.001109
                     48,                 0.7219,                0.97632,                      0,                0.44845,                0.97512,                0.99869,                0.97692,                0.98749,                 0.8502,                0.99869,                0.97692,                0.98111,                0.48304,                0.68427,                 3.1156,                      0,                0.38575,                  1.012,              0.0010892,              0.0010892,              0.0010892
                     49,                0.74567,                 1.0426,                      0,                0.45556,                 0.9645,                0.99885,                0.97692,                0.99006,                0.85499,                0.99885,                0.97692,                0.98646,                0.45311,                0.73403,                 3.1156,                      0,                0.46455,                0.98849,              0.0010694,              0.0010694,              0.0010694
                     50,                0.73247,                 1.0216,                      0,                 0.4493,                0.98127,                0.98413,                0.97692,                0.98645,                0.83776,                0.98413,                0.97692,                0.98645,                 0.4854,                0.80806,                 3.0921,                      0,                0.44284,                0.99561,              0.0010496,              0.0010496,              0.0010496
                     51,                 0.7269,                0.89785,                      0,                0.46357,                0.98335,                 0.9998,                0.98462,                0.98873,                0.82189,                 0.9998,                0.98462,                0.98873,                0.50679,                0.73176,                 3.1189,                      0,                0.42786,                0.99107,              0.0010298,              0.0010298,              0.0010298
                     52,                0.71438,                0.99903,                      0,                0.44558,                0.98422,                0.99826,                0.97692,                0.99462,                0.81569,                0.99826,                0.97692,                0.98854,                0.48684,                0.84651,                 3.1574,                      0,                0.41555,                 1.0566,                0.00101,                0.00101,                0.00101
                     53,                0.70342,                 1.0355,                      0,                0.44078,                0.96767,                      1,                0.98361,                0.98825,                0.85703,                0.99852,                0.97692,                0.98145,                0.49987,                0.73454,                 3.2063,                      0,                0.37984,                 0.9614,              0.0009902,              0.0009902,              0.0009902
                     54,                0.69778,                0.94672,                      0,                0.44289,                0.97659,                0.99971,                0.98462,                0.99322,                 0.8657,                0.99843,                0.97692,                0.98096,                 0.5141,                 0.7374,                 3.1684,                      0,                0.39066,                0.98822,              0.0009704,              0.0009704,              0.0009704
                     55,                0.72964,                 0.8887,                      0,                0.46583,                0.98503,                0.97674,                0.97692,                0.98699,                0.85963,                0.97674,                0.97692,                0.98596,                0.55693,                 0.7216,                 3.1767,                      0,                0.39288,                0.99646,              0.0009506,              0.0009506,              0.0009506
                     56,                0.70396,                0.95377,                      0,                0.42879,                0.95792,                0.99623,                0.97692,                0.99301,                0.85977,                0.99623,                0.97692,                0.98637,                0.56209,                0.78725,                 3.0727,                      0,                0.43217,                 1.0282,              0.0009308,              0.0009308,              0.0009308
                     57,                0.68559,                 0.9578,                      0,                0.42059,                 0.9582,                 0.9988,                0.97692,                0.98771,                0.85579,                 0.9988,                0.97692,                0.98736,                0.56752,                0.72356,                 3.1055,                      0,                0.38147,                0.97854,               0.000911,               0.000911,               0.000911
                     58,                0.69814,                 1.0517,                      0,                0.42318,                0.96559,                0.97478,                0.96923,                0.98632,                0.81468,                0.98202,                0.97692,                0.98692,                0.53195,                0.78154,                 3.2169,                      0,                0.44154,                  1.118,              0.0008912,              0.0008912,              0.0008912
                     59,                0.69934,                 1.0429,                      0,                0.43313,                0.96216,                0.99785,                0.97692,                0.98174,                0.86068,                0.99263,                0.96923,                0.97503,                0.52394,                 0.7886,                 3.6689,                      0,                0.37556,                 1.1871,              0.0008714,              0.0008714,              0.0008714
                     60,                0.68713,                0.99995,                      0,                0.42706,                0.96286,                0.98204,                0.97692,                0.98897,                0.85851,                0.97431,                0.96923,                0.96491,                0.46874,                0.72092,                 3.2901,                      0,                0.55624,                 1.0532,              0.0008516,              0.0008516,              0.0008516
                     61,                0.69111,                0.95301,                      0,                0.42033,                 0.9538,                0.98461,                0.98414,                0.98767,                0.84373,                0.98702,                0.97692,                0.98076,                0.43787,                0.75383,                 3.2376,                      0,                0.42348,                 1.0541,              0.0008318,              0.0008318,              0.0008318
                     62,                0.70508,                  1.054,                      0,                0.42318,                0.96713,                0.98453,                0.98462,                 0.9881,                0.86344,                0.98453,                0.98462,                 0.9881,                0.57054,                0.71234,                 3.0406,                      0,                   0.36,                 1.0443,               0.000812,               0.000812,               0.000812
                     63,                0.67188,                0.92264,                      0,                0.40673,                0.95781,                0.99698,                0.97692,                0.98752,                0.85546,                0.99698,                0.97692,                0.98752,                0.55376,                0.83573,                 3.0603,                      0,                0.40517,                 1.0816,              0.0007922,              0.0007922,              0.0007922
                     64,                 0.6663,                0.97374,                      0,                0.40982,                0.95661,                0.98394,                0.99231,                0.99477,                0.86076,                0.99143,                0.97692,                0.99156,                0.52467,                 0.7619,                 3.0133,                      0,                 0.4008,                 1.0495,              0.0007724,              0.0007724,              0.0007724
                     65,                0.63816,                0.97569,                      0,                0.39804,                0.93958,                      1,                0.98384,                0.99485,                0.84822,                      1,                0.98384,                0.98902,                0.54459,                 0.7776,                 2.9771,                      0,                0.36951,                 1.0185,              0.0007526,              0.0007526,              0.0007526
                     66,                0.65813,                0.94222,                      0,                0.41248,                0.94988,                0.99839,                0.97692,                0.98797,                0.86477,                0.99839,                0.97692,                0.98797,                0.58017,                0.72181,                  2.938,                      0,                0.39044,                0.99517,              0.0007328,              0.0007328,              0.0007328
                     67,                0.65469,                0.89257,                      0,                0.41056,                0.95363,                0.99924,                0.97692,                0.98721,                0.85406,                0.99924,                0.97692,                0.97999,                0.57009,                0.64121,                  3.104,                      0,                0.36997,                0.95054,               0.000713,               0.000713,               0.000713
                     68,                0.65465,                0.85337,                      0,                0.41513,                0.94775,                      1,                0.98382,                0.98815,                0.85755,                0.99915,                0.97692,                0.98125,                0.57781,                0.68317,                   3.07,                      0,                0.34634,                 1.0008,              0.0006932,              0.0006932,              0.0006932
                     69,                0.64256,                0.93251,                      0,                0.41277,                0.94338,                      1,                0.98319,                0.98906,                0.87419,                0.99846,                0.97692,                0.98305,                 0.5591,                0.74089,                 3.1525,                      0,                0.37923,                 1.0583,              0.0006734,              0.0006734,              0.0006734
                     70,                0.64333,                0.87809,                      0,                0.40698,                 0.9337,                      1,                0.98369,                0.98967,                0.85564,                0.99881,                0.97692,                0.98428,                0.55269,                0.82256,                 3.1115,                      0,                0.45756,                 1.0751,              0.0006536,              0.0006536,              0.0006536
                     71,                0.60786,                0.75007,                      0,                0.39991,                0.93521,                  0.999,                0.97692,                0.98907,                0.87352,                  0.999,                0.97692,                0.98907,                0.57174,                0.70974,                 3.0862,                      0,                0.34374,                 1.0027,              0.0006338,              0.0006338,              0.0006338
                     72,                0.61723,                0.82556,                      0,                0.39355,                0.92882,                0.99932,                0.97692,                0.99414,                0.87627,                0.99932,                0.97692,                  0.989,                0.56346,                0.66084,                 3.1196,                      0,                0.34989,                0.98651,               0.000614,               0.000614,               0.000614
                     73,                0.63201,                0.83841,                      0,                0.39555,                0.94509,                      1,                0.98423,                 0.9936,                0.87296,                      1,                0.98423,                0.99492,                0.48909,                0.68423,                 3.2269,                      0,                0.33995,                 1.0105,              0.0005942,              0.0005942,              0.0005942
                     74,                0.60742,                0.89402,                      0,                 0.3847,                0.94037,                      1,                0.98384,                0.98661,                0.82449,                      1,                0.98384,                0.98661,                0.51428,                0.80548,                 3.2088,                      0,                 0.3928,                  1.093,              0.0005744,              0.0005744,              0.0005744
                     75,                0.63941,                0.83563,                      0,                0.39311,                0.95162,                      1,                 0.9842,                0.99254,                0.86268,                      1,                 0.9842,                 0.9892,                0.56667,                0.69969,                 3.0378,                      0,                0.33369,                0.99798,              0.0005546,              0.0005546,              0.0005546
                     76,                0.62564,                0.82512,                      0,                0.38041,                0.94008,                0.99903,                0.97692,                0.98894,                0.87383,                0.99903,                0.97692,                0.98894,                0.51321,                0.69456,                 3.0864,                      0,                0.33313,                0.97919,              0.0005348,              0.0005348,              0.0005348
                     77,                0.57349,                0.81695,                      0,                0.36334,                0.92171,                      1,                0.99148,                  0.995,                0.85523,                0.99224,                0.98379,                0.98869,                0.53785,                0.73102,                  3.093,                      0,                0.35306,                0.98815,               0.000515,               0.000515,               0.000515
                     78,                0.58945,                0.83615,                      0,                0.35833,                0.91871,                0.99924,                0.97692,                0.99266,                0.88135,                0.99924,                0.97692,                0.98882,                0.55498,                0.68041,                 3.1207,                      0,                   0.36,                0.98938,              0.0004952,              0.0004952,              0.0004952
                     79,                0.60104,                0.85245,                      0,                0.36184,                0.93477,                0.99225,                0.98457,                0.99414,                0.86713,                0.99225,                0.98457,                0.99462,                 0.5726,                0.71958,                 3.0775,                      0,                0.34359,                 1.0039,              0.0004754,              0.0004754,              0.0004754
                     80,                0.58579,                0.76429,                      0,                0.36607,                0.93678,                0.99919,                0.97692,                0.99076,                0.87463,                0.98346,                0.96154,                0.97842,                0.54792,                0.77498,                 3.2378,                      0,                0.36447,                 1.0051,              0.0004556,              0.0004556,              0.0004556
                     81,                0.59055,                0.83587,                      0,                0.36095,                0.92117,                0.99903,                0.97692,                0.99296,                0.87797,                0.99903,                0.97692,                0.99426,                0.51139,                0.80621,                 3.0874,                      0,                0.39102,                 1.0445,              0.0004358,              0.0004358,              0.0004358
                     82,                0.58642,                0.81593,                      0,                0.36701,                0.92782,                      1,                 0.9842,                0.98933,                0.87146,                      1,                0.99168,                  0.995,                0.49109,                0.88361,                 3.0914,                      0,                0.38079,                 1.0793,               0.000416,               0.000416,               0.000416
                     83,                0.58873,                0.83481,                      0,                0.36187,                0.93314,                      1,                 0.9841,                0.98933,                 0.8869,                0.99037,                0.99231,                0.99485,                0.49519,                0.73716,                 3.0401,                      0,                0.35646,                 1.0116,              0.0003962,              0.0003962,              0.0003962
                     84,                0.59927,                0.84851,                      0,                0.37328,                0.93521,                      1,                0.98434,                0.99463,                0.86688,                      1,                0.98434,                0.99477,                0.53321,                0.74906,                  2.999,                      0,                0.35261,                0.99662,              0.0003764,              0.0003764,              0.0003764
                     85,                0.59028,                0.78418,                      0,                0.36526,                0.93556,                      1,                0.98431,                0.98914,                0.87558,                0.99219,                0.97664,                0.99385,                0.52365,                0.65419,                 3.0722,                      0,                0.32654,                0.97377,              0.0003566,              0.0003566,              0.0003566
                     86,                0.57934,                0.76733,                      0,                0.35782,                0.92482,                      1,                0.98441,                0.99316,                0.88193,                0.99219,                0.97672,                0.98858,                0.51109,                0.68616,                 3.0715,                      0,                0.33898,                0.97017,              0.0003368,              0.0003368,              0.0003368
                     87,                0.58582,                0.81758,                      0,                0.36001,                0.93336,                      1,                0.98434,                0.98922,                0.87124,                0.99219,                0.97666,                0.98229,                 0.4845,                0.74182,                 3.0733,                      0,                0.33938,                0.98045,               0.000317,               0.000317,               0.000317
                     88,                0.57891,                0.80349,                      0,                0.36784,                0.93178,                      1,                0.98429,                0.98912,                0.88031,                      1,                0.98429,                0.98912,                0.53725,                0.72255,                 3.0564,                      0,                0.34323,                0.97239,              0.0002972,              0.0002972,              0.0002972
                     89,                0.54497,                0.73593,                      0,                 0.3466,                0.92209,                      1,                0.98421,                0.98929,                0.86526,                0.99946,                0.97692,                0.98589,                 0.5445,                0.81138,                 3.0734,                      0,                0.36866,                 1.0001,              0.0002774,              0.0002774,              0.0002774
                     90,                0.56051,                0.79009,                      0,                0.34401,                0.91251,                0.99944,                0.97692,                0.98919,                0.86862,                0.99944,                0.97692,                0.98347,                0.56129,                0.76773,                 3.0676,                      0,                0.38081,                0.97721,              0.0002576,              0.0002576,              0.0002576
                     91,                0.44476,                 1.6534,                      0,                0.31319,                0.88322,                0.99224,                0.98385,                0.98821,                0.87629,                0.99822,                0.97692,                0.98153,                0.57921,                0.68895,                 3.0821,                      0,                0.36266,                0.95862,              0.0002378,              0.0002378,              0.0002378
                     92,                 0.4271,                  1.424,                      0,                0.27598,                 0.8792,                  0.997,                0.97692,                0.98773,                0.87509,                  0.997,                0.97692,                0.98071,                0.57166,                0.68339,                 3.0203,                      0,                0.34966,                0.94352,               0.000218,               0.000218,               0.000218
                     93,                0.41431,                 1.6722,                      0,                0.27454,                0.86134,                0.99689,                0.97692,                0.98739,                0.86266,                0.99689,                0.97692,                0.98739,                 0.5821,                0.71881,                 2.9725,                      0,                0.39839,                0.96753,              0.0001982,              0.0001982,              0.0001982
                     94,                0.40377,                 1.4909,                      0,                0.25941,                0.88354,                0.99797,                0.97692,                0.98735,                0.87092,                0.99797,                0.97692,                0.98735,                0.58192,                0.63121,                 2.9545,                      0,                0.36639,                0.93159,              0.0001784,              0.0001784,              0.0001784
                     95,                0.39717,                 1.5402,                      0,                0.25729,                0.88211,                0.99224,                 0.9839,                 0.9875,                 0.8648,                0.99224,                 0.9839,                 0.9875,                 0.5698,                0.67128,                  2.888,                      0,                0.39958,                0.94693,              0.0001586,              0.0001586,              0.0001586
                     96,                0.38326,                  1.524,                      0,                0.24759,                0.86176,                0.99935,                0.97692,                0.98738,                 0.8726,                0.99935,                0.97692,                0.98512,                0.56108,                0.67829,                 2.9345,                      0,                0.40884,                0.96407,              0.0001388,              0.0001388,              0.0001388
                     97,                0.37238,                  1.489,                      0,                0.24195,                0.85411,                      1,                0.98414,                0.98759,                0.87451,                0.99941,                0.97692,                0.98482,                0.57666,                0.73631,                 2.9553,                      0,                0.42218,                0.98684,               0.000119,               0.000119,               0.000119
                     98,                0.37696,                 1.5114,                      0,                0.24737,                0.86854,                      1,                0.98414,                0.98787,                0.87401,                0.99944,                0.97692,                0.98069,                0.58037,                0.76276,                  2.982,                      0,                0.40643,                0.99322,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.37414,                 1.5625,                      0,                0.24179,                0.85996,                0.99948,                0.97692,                0.98779,                0.87294,                0.99948,                0.97692,                0.98098,                  0.577,                0.75302,                 3.0044,                      0,                 0.4025,                0.98198,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.37312,                 1.6104,                      0,                0.23951,                0.85458,                0.99949,                0.97692,                0.98766,                 0.8709,                0.99949,                0.97692,                0.98073,                0.57402,                0.75122,                 2.9958,                      0,                 0.4251,                 0.9867,               5.96e-05,               5.96e-05,               5.96e-05
